tempo_h,p_man,q_tr
"1041,400539","-1,834346","186,924432"
"1042,400923","-1,844367","186,916857"
"1043,401308","-1,853440","186,910014"
"1044,401693","-1,861654","186,903818"
"1045,402078","-1,869092","186,898208"
"1046,402462","-1,875826","186,893129"
"1047,402847","-1,881923","186,888530"
"1048,403232","-1,887443","186,884366"
"1049,403617","-1,892441","186,880596"
"1050,404002","-1,896966","186,877182"
"1051,404386","-1,901063","186,874092"
"1052,404771","-1,904772","186,871293"
"1053,405156","-1,908130","186,868760"
"1054,405541","-1,911170","186,866467"
"1055,405925","-1,913923","186,864390"
"1056,406310","-1,916416","186,862510"
"1057,406695","-1,918672","186,860807"
"1058,407080","-1,920715","186,859266"
"1059,407464","-1,922565","186,857870"
"1060,407849","-1,924240","186,856607"
"1061,408234","-1,925756","186,855463"
"1062,408619","-1,927129","186,854427"
"1063,409003","-1,928373","186,853489"
"1064,409388","-1,929498","186,852640"
"1065,409773","-1,930517","186,851871"
"1066,410158","-1,931440","186,851175"
"1067,410543","-1,932275","186,850544"
"1068,410927","-1,933032","186,849974"
"1069,411312","-1,933717","186,849457"
"1070,411697","-1,934337","186,848989"
"1071,412082","-1,934898","186,848566"
"1072,412466","-1,935407","186,848182"
"1073,412851","-1,935867","186,847835"
"1074,413236","-1,936284","186,847520"
"1075,413621","-1,936661","186,847236"
"1076,414005","-1,937002","186,846978"
"1077,414390","-1,937312","186,846745"
"1078,414775","-1,937592","186,846533"
"1079,415160","-1,937845","186,846342"
"1080,415544","-1,938075","186,846169"
"1081,415929","-1,938283","186,846012"
"1082,416314","-1,938471","186,845870"
"1083,416699","-1,938641","186,845742"
"1084,417083","-1,938796","186,845625"
"1085,417468","-1,938935","186,845520"
"1086,417853","-1,939062","186,845424"
"1087,418238","-1,939176","186,845338"
"1088,418623","-1,939280","186,845260"
"1089,419007","-1,939373","186,845189"
"1090,419392","-1,939458","186,845125"
"1091,419777","-1,939535","186,845068"
"1092,420162","-1,939604","186,845015"
"1093,420546","-1,939667","186,844968"
"1094,420931","-1,939724","186,844925"
"1095,421316","-1,939775","186,844886"
"1096,421701","-1,939822","186,844851"
"1097,422085","-1,939864","186,844819"
"1098,422470","-1,939903","186,844790"
"1099,422855","-1,939937","186,844764"
"1100,423240","-1,939937","186,844764"
"1101,423624","-1,451497","187,210211"
"1102,424009","-0,928261","187,603900"
"1103,424394","-0,452809","187,960994"
"1104,424779","-0,021169","188,284652"
"1105,425164","0,370665","188,578027"
"1106,425548","0,726360","188,843988"
"1107,425933","1,049251","189,085126"
"1108,426318","1,342360","189,303782"
"1109,426703","1,608436","189,502074"
"1110,427087","1,849970","189,681914"
"1111,427472","2,069227","189,845033"
"1112,427857","2,268261","189,992998"
"1113,428242","2,448937","190,127224"
"1114,428626","2,612947","190,248995"
"1115,429011","2,761830","190,359474"
"1116,429396","2,896979","190,459712"
"1117,429781","3,019663","190,550662"
"1118,430165","3,131030","190,633189"
"1119,430550","3,232124","190,708075"
"1120,430935","3,323893","190,776031"
"1121,431320","3,407196","190,837699"
"1122,431705","3,482815","190,893663"
"1123,432089","3,551458","190,944451"
"1124,432474","3,613769","190,990543"
