tempo,p_man,q_tr
"6512,504810","-1,727883","187,004695"
"6527,510581","-1,747975","186,989555"
"6542,516352","-1,766167","186,975807"
"6557,522124","-1,782638","186,963418"
"6572,527895","-1,797550","186,952164"
"6587,533667","-1,811052","186,941959"
"6602,539438","-1,823277","186,932778"
"6617,545210","-1,834345","186,924413"
"6632,550981","-1,844366","186,916846"
"6647,556753","-1,853439","186,910045"
"6662,562524","-1,861654","186,903795"
"6677,568295","-1,869091","186,898209"
"6692,574067","-1,875825","186,893126"
"6707,579838","-1,881922","186,888484"
"6722,585610","-1,887442","186,884411"
"6737,591381","-1,892440","186,880571"
"6752,597153","-1,896965","186,877159"
"6767,602924","-1,901062","186,874130"
"6782,608696","-1,904771","186,871240"
"6797,614467","-1,908129","186,868791"
"6812,620239","-1,911170","186,866505"
"6827,626010","-1,913923","186,864308"
"6842,631781","-1,916416","186,862589"
"6857,637553","-1,918673","186,860781"
"6872,643324","-1,920716","186,859247"
"6887,649096","-1,922566","186,857885"
"6902,654867","-1,924240","186,856595"
"6917,660639","-1,925757","186,855467"
"6932,666410","-1,927129","186,854432"
"6947,672182","-1,928371","186,853489"
"6962,677953","-1,929496","186,852641"
"6977,683725","-1,930514","186,851873"
"6992,689496","-1,931436","186,851178"
"7007,695267","-1,932271","186,850548"
"7022,701039","-1,933027","186,849977"
"7037,706810","-1,933712","186,849460"
"7052,712582","-1,934333","186,848992"
"7067,718353","-1,934895","186,848568"
"7082,724125","-1,935404","186,848184"
"7097,729896","-1,935865","186,847836"
"7112,735668","-1,936283","186,847521"
"7127,741439","-1,936661","186,847235"
"7142,747210","-1,937004","186,846977"
"7157,752982","-1,937314","186,846743"
"7172,758753","-1,937595","186,846531"
"7187,764525","-1,937849","186,846340"
"7202,770296","-1,938079","186,846166"
"7217,776068","-1,938287","186,846009"
"7232,781839","-1,938475","186,845867"
"7247,787611","-1,938646","186,845738"
"7262,793382","-1,938800","186,845622"
"7277,799154","-1,938940","186,845517"
"7292,804925","-1,939066","186,845421"
"7307,810696","-1,939180","186,845335"
"7322,816468","-1,939284","186,845257"
"7337,822239","-1,939378","186,845186"
"7352,828011","-1,939463","186,845122"
"7367,833782","-1,939539","186,845064"
"7382,839554","-1,939609","186,845012"
"7397,845325","-1,939672","186,844964"
"7412,851097","-1,939729","186,844921"
"7427,856868","-1,939780","186,844883"
"7442,862639","-1,939826","186,844848"
"7457,868411","-1,939868","186,844816"
"7472,874182","-1,939906","186,844787"
"7487,879954","-1,939941","186,844761"
"7502,885725","-1,939941","186,844761"
"7517,891497","-1,451500","187,210209"
"7532,897268","-0,928263","187,603898"
"7547,903040","-0,452811","187,960992"
"7562,908811","-0,021171","188,284651"
"7577,914583","0,370663","188,578026"
"7592,920354","0,726359","188,843986"
"7607,926125","1,049249","189,085124"
"7622,931897","1,342359","189,303781"
"7637,937668","1,608434","189,502073"
"7652,943440","1,849969","189,681913"
"7667,949211","2,069226","189,845033"
"7682,954983","2,268260","189,992997"
"7697,960754","2,448936","190,127223"
"7712,966526","2,612946","190,248995"
"7727,972297","2,761829","190,359473"
"7742,978068","2,896979","190,459711"
"7757,983840","3,019662","190,550661"
"7772,989611","3,131029","190,633188"
"7787,995383","3,232123","190,708075"
"7803,001154","3,323892","190,776031"
"7818,006926","3,407196","190,837699"
"7833,012697","3,482815","190,893663"
"7848,018469","3,551458","190,944451"
"7863,024240","3,613768","190,990543"
"7878,030012","3,670330","191,032374"
"7893,035783","3,721674","191,070339"
"7908,041554","3,768282","191,104796"
"7923,047326","3,810589","191,136069"
"7938,053097","3,848995","191,164453"
"7953,058869","3,883857","191,190216"
"7968,064640","3,915504","191,213599"
"7983,070412","3,944231","191,234824"
"7998,076183","3,970308","191,254088"
"8013,081955","3,993980","191,271574"
"8028,087726","4,015468","191,287446"
"8043,093497","4,034974","191,301852"
"8058,099269","4,052680","191,314928"
"8073,105040","4,068753","191,326798"
"8088,110812","4,083343","191,337572"
"8103,116583","4,096588","191,347352"
"8118,122355","4,108610","191,356229"
"8133,128126","4,119524","191,364287"
"8148,133898","4,129431","191,371602"
"8163,139669","4,138424","191,378241"
"8178,145441","4,146587","191,384268"
"8193,151212","4,153997","191,389738"
"8208,156983","4,160724","191,394704"
"8223,162755","4,166830","191,399212"
"8238,168526","4,172373","191,403303"
"8253,174298","4,177404","191,407018"
"8268,180069","4,181972","191,410389"
"8283,185841","4,186118","191,413450"
"8298,191612","4,189881","191,416228"
"8313,197384","4,193298","191,418749"
"8328,203155","4,196399","191,421039"
"8343,208927","4,199214","191,423117"
"8358,214698","4,201770","191,425003"
"8373,220469","4,204089","191,426715"
"8388,226241","4,206195","191,428269"
"8403,232012","4,208106","191,429680"
"8418,237784","4,209841","191,430960"
"8433,243555","4,211415","191,432122"
"8448,249327","4,212844","191,433177"
"8463,255098","4,214141","191,434134"
"8478,260870","4,215318","191,435003"
"8493,266641","4,216387","191,435792"
"8508,272412","4,217357","191,436508"
"8523,278184","4,218237","191,437157"
"8538,283955","4,219037","191,437748"
"8553,289727","4,219762","191,438283"
"8568,295498","4,220421","191,438769"
"8583,301270","4,221020","191,439211"
"8598,307041","4,221563","191,439612"
"8613,312813","4,222056","191,439976"
"8628,318584","4,222504","191,440306"
"8643,324356","4,222910","191,440606"
"8658,330127","4,223279","191,440879"
"8673,335898","4,223614","191,441126"
"8688,341670","4,223919","191,441351"
"8703,347441","4,224195","191,441554"
"8718,353213","4,224445","191,441739"
"8733,358984","4,224673","191,441907"
